rank,chembl_id,name,smiles,target_gene,population_target,activity_type,activity_nM,qed,sa_score,pains_pass,hepatotox_risk,admet_score,est_emax_s,est_emax_r,score_efficacy,score_selectivity,score_safety,score_resistance,score_novelty,score_synthesizability,score_overall,novelty,target_in_trials
1,CHEMBL3889770,CHEMBL3889770,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@H]2C[C@@H](O)C2)c(=O)n4C)cn1,ATM,resistant,IC50,0.24,0.439,2.82,True,low,100.0,0.00231,0.011549,92.4,100.0,100.0,100.0,100,79.8,96.7,TARGET_KNOWN,True
2,CHEMBL3923182,CHEMBL3923182,CO[C@H]1CC[C@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,ATM,resistant,IC50,0.152,0.359,3.55,True,medium,97.2,0.002409,0.012045,96.4,88.0,97.2,100.0,100,71.7,93.9,TARGET_KNOWN,True
3,CHEMBL3936943,CHEMBL3936943,CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN6CCCC6)nc5)cc4c32)C1,ATM,resistant,IC50,0.176,0.348,2.85,True,medium,97.0,0.002377,0.011886,95.1,88.0,97.0,100.0,100,79.4,93.9,TARGET_KNOWN,True
4,CHEMBL3936734,CHEMBL3936734,CO[C@H]1C[C@@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,ATM,resistant,IC50,0.249,0.373,2.86,True,medium,97.5,0.002302,0.01151,92.1,88.0,97.5,100.0,100,79.3,93.1,TARGET_KNOWN,True
5,CHEMBL3947316,CHEMBL3947316,Cn1c(=O)n([C@H]2CCCOC2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)ccc3ncc21,ATM,resistant,IC50,0.238,0.365,3.25,True,medium,97.3,0.002312,0.011559,92.5,88.0,97.3,100.0,100,75.0,92.9,TARGET_KNOWN,True
6,CHEMBL3927821,CHEMBL3927821,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n(C2CCOCC2)c(=O)n4C)c(F)n1,ATM,resistant,IC50,0.301,0.297,2.96,True,medium,95.9,0.002261,0.011304,90.4,88.0,95.9,100.0,100,78.2,92.2,TARGET_KNOWN,True
7,CHEMBL3890490,CHEMBL3890490,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@H]2CCCOC2)c(=O)n4C)cn1,ATM,resistant,IC50,0.329,0.391,3.27,True,medium,97.8,0.002241,0.011207,89.7,88.0,97.8,100.0,100,74.8,92.2,TARGET_KNOWN,True
8,CHEMBL382667,CHEMBL382667,COc1cc2c(Nc3cnc(NC(=O)c4ccc(F)c(Cl)c4)nc3)ncnc2cc1OCCCN1CCOCC1,AURKA,resistant,IC50,0.15,0.268,2.69,True,medium,85.4,0.002412,0.01206,96.5,88.0,85.4,100.0,100,81.2,92.1,TARGET_KNOWN,True
9,CHEMBL4112870,CHEMBL4112870,CO[C@@H]1CC[C@@H](n2c(=O)n(C)c3cnc4ccc(-c5ccc(OCCCN(C)C)nc5)cc4c32)C1,ATM,resistant,IC50,0.315,0.359,3.55,True,medium,97.2,0.002251,0.011254,90.0,88.0,97.2,100.0,100,71.7,92.0,TARGET_KNOWN,True
10,CHEMBL3898165,CHEMBL3898165,Cn1c(=O)n([C@H]2C[C@@H](O)C2)c2c3cc(-c4ccc(OCCCN5CCCC5)nc4)ccc3ncc21,ATM,resistant,IC50,0.447,0.414,2.8,True,medium,98.3,0.002175,0.010874,87.0,88.0,98.3,100.0,100,80.0,91.7,TARGET_KNOWN,True
11,CHEMBL3935033,CHEMBL3935033,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@H]2CCCOC2)c(=O)n4C)c(F)n1,ATM,resistant,IC50,0.365,0.297,3.42,True,medium,95.9,0.002219,0.011094,88.8,88.0,95.9,100.0,100,73.1,91.5,TARGET_KNOWN,True
12,CHEMBL3924247,CHEMBL3924247,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n(C2COC2)c(=O)n4C)cn1,ATM,resistant,IC50,1.46,0.417,2.84,True,low,100.0,0.001918,0.009589,76.7,100.0,100.0,95.9,100,79.6,91.4,TARGET_KNOWN,True
13,CHEMBL3960662,CHEMBL3960662,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n(C2CCOCC2)c(=O)n4C)cn1,ATM,resistant,IC50,0.575,0.391,2.8,True,medium,97.8,0.00212,0.010601,84.8,87.9,97.8,100.0,100,80.0,91.0,TARGET_KNOWN,True
14,CHEMBL5220685,CHEMBL5220685,COC(=O)[C@H]1COCCN1CCOc1ccccc1Cc1cn(C(F)F)nc1-c1cc(Cl)nc(N)n1,EZH2,resistant,IC50,1.0,0.334,3.64,True,low,91.7,0.002,0.01,80.0,100.0,91.7,100.0,100,70.7,90.9,TARGET_KNOWN,True
15,CHEMBL4109764,CHEMBL4109764,CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n([C@@H]2CCCOC2)c(=O)n4C)c(F)n1,ATM,resistant,IC50,0.552,0.297,3.42,True,medium,95.9,0.002129,0.010645,85.2,88.0,95.9,100.0,100,73.1,90.4,TARGET_KNOWN,True
16,CHEMBL338923,CHEMBL338923,COc1ccc(-c2nc3c(C(N)=O)cccc3[nH]2)cc1O,PARP1,resistant,Ki,2.0,0.684,2.15,True,low,100.0,0.001849,0.009247,74.0,100.0,100.0,92.5,100,87.2,90.4,TARGET_KNOWN,True
