modifier,target,score,modifier_function,effect
DNMT3A,CBX5,875,DNA methyltransferase,methylation
DNMT3A,AHCY,937,DNA methyltransferase,methylation
DNMT3A,SPI1,939,DNA methyltransferase,methylation
DNMT3A,CCND1,708,DNA methyltransferase,methylation
DNMT3A,FLT3,851,DNA methyltransferase,methylation
DNMT3A,SNAI1,805,DNA methyltransferase,methylation
DNMT3A,H4C6,974,DNA methyltransferase,methylation
DNMT3A,MBD4,901,DNA methyltransferase,methylation
DNMT3A,TRIM28,942,DNA methyltransferase,methylation
DNMT3A,RARA,715,DNA methyltransferase,methylation
DNMT3A,H3-3B,999,DNA methyltransferase,methylation
DNMT3A,MBD2,920,DNA methyltransferase,methylation
DNMT3A,TET3,802,DNA methyltransferase,methylation
DNMT3A,AHCYL1,915,DNA methyltransferase,methylation
DNMT3A,H3-4,998,DNA methyltransferase,methylation
DNMT3A,HDAC1,997,DNA methyltransferase,methylation
DNMT3A,H3C6,923,DNA methyltransferase,methylation
DNMT3A,CEBPA,718,DNA methyltransferase,methylation
DNMT3A,GATA2,731,DNA methyltransferase,methylation
DNMT3A,NKX2-2,865,DNA methyltransferase,methylation
DNMT3A,H3-2,998,DNA methyltransferase,methylation
DNMT3A,EHMT2,993,DNA methyltransferase,methylation
DNMT3A,TCL1A,952,DNA methyltransferase,methylation
DNMT3A,HELLS,808,DNA methyltransferase,methylation
DNMT3A,ZBTB18,863,DNA methyltransferase,methylation
DNMT3A,DOT1L,710,DNA methyltransferase,methylation
DNMT3A,EZH2,999,DNA methyltransferase,methylation
DNMT3A,H3-3A,931,DNA methyltransferase,methylation
DNMT3A,H3C12,999,DNA methyltransferase,methylation
DNMT3A,TP53,835,DNA methyltransferase,methylation
DNMT3A,TRDMT1,926,DNA methyltransferase,methylation
DNMT3A,UHRF2,769,DNA methyltransferase,methylation
DNMT3A,RUNX1,777,DNA methyltransferase,methylation
DNMT3A,H3C13,999,DNA methyltransferase,methylation
DNMT3A,H4C7,750,DNA methyltransferase,methylation
DNMT3A,PRAM1,730,DNA methyltransferase,methylation
DNMT3A,SRSF2,776,DNA methyltransferase,methylation
DNMT3A,DNMT1,999,DNA methyltransferase,methylation
DNMT3A,PRMT5,924,DNA methyltransferase,methylation
DNMT3A,SUV39H1,996,DNA methyltransferase,methylation
DNMT3A,H3C3,922,DNA methyltransferase,methylation
DNMT3A,IDH1,797,DNA methyltransferase,methylation
DNMT3A,ATRX,747,DNA methyltransferase,methylation
DNMT3A,ARID1A,720,DNA methyltransferase,methylation
DNMT3A,SMARCA4,957,DNA methyltransferase,methylation
DNMT3A,EED,804,DNA methyltransferase,methylation
DNMT3A,H2AX,722,DNA methyltransferase,methylation
DNMT3A,ZRSR2,720,DNA methyltransferase,methylation
DNMT3A,MYC,991,DNA methyltransferase,methylation
DNMT3A,MECP2,949,DNA methyltransferase,methylation
DNMT3A,TDG,933,DNA methyltransferase,methylation
DNMT3A,MAT2A,931,DNA methyltransferase,methylation
DNMT3A,UHRF1,967,DNA methyltransferase,methylation
DNMT3A,AGO4,875,DNA methyltransferase,methylation
DNMT3A,DNMT3L,999,DNA methyltransferase,methylation
DNMT3A,H2AC20,775,DNA methyltransferase,methylation
DNMT3A,CBX1,898,DNA methyltransferase,methylation
DNMT3A,AHCYL2,913,DNA methyltransferase,methylation
DNMT3A,SUZ12,798,DNA methyltransferase,methylation
DNMT3A,NR6A1,765,DNA methyltransferase,methylation
DNMT3A,H3C4,912,DNA methyltransferase,methylation
DNMT3A,MAT1A,924,DNA methyltransferase,methylation
DNMT3A,JARID2,715,DNA methyltransferase,methylation
DNMT3A,H3-5,998,DNA methyltransferase,methylation
DNMT3A,KMT2A,746,DNA methyltransferase,methylation
DNMT3A,H3C1,964,DNA methyltransferase,methylation
DNMT3A,TLE3,914,DNA methyltransferase,methylation
DNMT3A,TET1,886,DNA methyltransferase,methylation
DNMT3A,MIS18A,816,DNA methyltransferase,methylation
DNMT3A,HDAC2,970,DNA methyltransferase,methylation
DNMT3A,ASXL1,939,DNA methyltransferase,methylation
DNMT3A,ASXL2,735,DNA methyltransferase,methylation
DNMT3A,MAT2B,932,DNA methyltransferase,methylation
DNMT3A,H3C10,909,DNA methyltransferase,methylation
DNMT3A,H3C2,914,DNA methyltransferase,methylation
DNMT3A,MPHOSPH8,993,DNA methyltransferase,methylation
DNMT3A,H2BC21,747,DNA methyltransferase,methylation
DNMT3A,NPM1,794,DNA methyltransferase,methylation
DNMT3A,SETDB1,996,DNA methyltransferase,methylation
DNMT3A,KMT5B,915,DNA methyltransferase,methylation
DNMT3A,H3C7,909,DNA methyltransferase,methylation
DNMT3A,CKAP5,734,DNA methyltransferase,methylation
DNMT3A,DNMT3B,998,DNA methyltransferase,methylation
DNMT3A,H2AC18,776,DNA methyltransferase,methylation
DNMT3A,IDH2,793,DNA methyltransferase,methylation
DNMT3A,H3C14,910,DNA methyltransferase,methylation
DNMT3A,PHB2,784,DNA methyltransferase,methylation
DNMT3A,NRAS,732,DNA methyltransferase,methylation
DNMT3A,H3C8,910,DNA methyltransferase,methylation
DNMT3A,TET2,946,DNA methyltransferase,methylation
DNMT3A,ZBTB17,738,DNA methyltransferase,methylation
DNMT3A,H2AZ1,784,DNA methyltransferase,methylation
DNMT3A,H3C15,910,DNA methyltransferase,methylation
DNMT3A,U2AF1,776,DNA methyltransferase,methylation
DNMT3A,H3C11,910,DNA methyltransferase,methylation
DNMT3A,KDM1A,751,DNA methyltransferase,methylation
DNMT3A,AGO1,846,DNA methyltransferase,methylation
DNMT3B,CBX5,932,DNA methyltransferase,methylation
DNMT3B,SIRT1,926,DNA methyltransferase,methylation
DNMT3B,AHCY,950,DNA methyltransferase,methylation
DNMT3B,NANOG,831,DNA methyltransferase,methylation
DNMT3B,ZBTB24,711,DNA methyltransferase,methylation
DNMT3B,EGR1,709,DNA methyltransferase,methylation
DNMT3B,H4C6,739,DNA methyltransferase,methylation
DNMT3B,MBD4,960,DNA methyltransferase,methylation
DNMT3B,TRIM28,894,DNA methyltransferase,methylation
DNMT3B,H3-3B,971,DNA methyltransferase,methylation
DNMT3B,MBD2,711,DNA methyltransferase,methylation
DNMT3B,POU5F1,830,DNA methyltransferase,methylation
DNMT3B,HDAC4,702,DNA methyltransferase,methylation
DNMT3B,DNMT3A,998,DNA methyltransferase,methylation
DNMT3B,DNMT3L,999,DNA methyltransferase,methylation
DNMT3B,SETDB1,985,DNA methyltransferase,methylation
DNMT3B,CENPC,978,DNA methyltransferase,methylation
DNMT3B,H2BC1,720,DNA methyltransferase,methylation
DNMT3B,PRDM14,735,DNA methyltransferase,methylation
DNMT3B,UHRF2,765,DNA methyltransferase,methylation
DNMT3B,SMARCA5,942,DNA methyltransferase,methylation
DNMT3B,H2BC5,821,DNA methyltransferase,methylation
DNMT3B,MIS18A,747,DNA methyltransferase,methylation
DNMT3B,H2AZ1,706,DNA methyltransferase,methylation
DNMT3B,ZHX1,795,DNA methyltransferase,methylation
DNMT3B,MAT2A,934,DNA methyltransferase,methylation
DNMT3B,AHCYL2,913,DNA methyltransferase,methylation
DNMT3B,SUZ12,895,DNA methyltransferase,methylation
DNMT3B,EZH2,999,DNA methyltransferase,methylation
DNMT3B,H2BC4,715,DNA methyltransferase,methylation
DNMT3B,SOX2,766,DNA methyltransferase,methylation
DNMT3B,MAT2B,924,DNA methyltransferase,methylation
DNMT3B,H3C15,906,DNA methyltransferase,methylation
DNMT3B,H2BC9,820,DNA methyltransferase,methylation
DNMT3B,H3C11,903,DNA methyltransferase,methylation
DNMT3B,H3C8,903,DNA methyltransferase,methylation
DNMT3B,TET2,852,DNA methyltransferase,methylation
DNMT3B,H2BU1,712,DNA methyltransferase,methylation
DNMT3B,CBX3,767,DNA methyltransferase,methylation
DNMT3B,H2AC18,823,DNA methyltransferase,methylation
DNMT3B,H3C14,906,DNA methyltransferase,methylation
DNMT3B,H3C7,903,DNA methyltransferase,methylation
DNMT3B,H3C10,904,DNA methyltransferase,methylation
DNMT3B,H3C2,905,DNA methyltransferase,methylation
DNMT3B,H2BC21,991,DNA methyltransferase,methylation
DNMT3B,CHD8,852,DNA methyltransferase,methylation
DNMT3B,TET1,831,DNA methyltransferase,methylation
DNMT3B,HDAC2,994,DNA methyltransferase,methylation
DNMT3B,E2F6,754,DNA methyltransferase,methylation
DNMT3B,MAFG,952,DNA methyltransferase,methylation
DNMT3B,H3C1,928,DNA methyltransferase,methylation
DNMT3B,NR6A1,721,DNA methyltransferase,methylation
DNMT3B,ENSG00000274559,945,DNA methyltransferase,methylation
DNMT3B,H3C4,905,DNA methyltransferase,methylation
DNMT3B,CDKN2A,727,DNA methyltransferase,methylation
DNMT3B,MAT1A,931,DNA methyltransferase,methylation
DNMT3B,H3-5,943,DNA methyltransferase,methylation
DNMT3B,H2AC20,824,DNA methyltransferase,methylation
DNMT3B,UHRF1,985,DNA methyltransferase,methylation
DNMT3B,MYC,842,DNA methyltransferase,methylation
DNMT3B,MECP2,864,DNA methyltransferase,methylation
DNMT3B,LIN28A,754,DNA methyltransferase,methylation
DNMT3B,TDG,905,DNA methyltransferase,methylation
DNMT3B,H2BS1,974,DNA methyltransferase,methylation
DNMT3B,EED,923,DNA methyltransferase,methylation
DNMT3B,H2AX,883,DNA methyltransferase,methylation
DNMT3B,SUV39H1,990,DNA methyltransferase,methylation
DNMT3B,RBBP7,738,DNA methyltransferase,methylation
DNMT3B,RBBP4,744,DNA methyltransferase,methylation
DNMT3B,ESR1,783,DNA methyltransferase,methylation
DNMT3B,H3C3,915,DNA methyltransferase,methylation
DNMT3B,SIN3A,858,DNA methyltransferase,methylation
DNMT3B,BAZ2A,906,DNA methyltransferase,methylation
DNMT3B,DNMT1,999,DNA methyltransferase,methylation
DNMT3B,H2BC11,767,DNA methyltransferase,methylation
DNMT3B,H2BC17,984,DNA methyltransferase,methylation
DNMT3B,H3C12,997,DNA methyltransferase,methylation
DNMT3B,TRDMT1,933,DNA methyltransferase,methylation
DNMT3B,H3C13,996,DNA methyltransferase,methylation
DNMT3B,H2BC12,974,DNA methyltransferase,methylation
DNMT3B,H3-2,994,DNA methyltransferase,methylation
DNMT3B,H2BC15,713,DNA methyltransferase,methylation
DNMT3B,EHMT2,933,DNA methyltransferase,methylation
DNMT3B,TCL1A,710,DNA methyltransferase,methylation
DNMT3B,HELLS,945,DNA methyltransferase,methylation
DNMT3B,SETD2,724,DNA methyltransferase,methylation
DNMT3B,AHCYL1,913,DNA methyltransferase,methylation
DNMT3B,TET3,783,DNA methyltransferase,methylation
DNMT3B,H3C6,915,DNA methyltransferase,methylation
DNMT3B,H3-4,994,DNA methyltransferase,methylation
DNMT3B,HDAC1,999,DNA methyltransferase,methylation
DNMT1,CBX5,928,Maintenance methyltransferase,methylation
DNMT1,SIRT1,922,Maintenance methyltransferase,methylation
DNMT1,AHCY,952,Maintenance methyltransferase,methylation
DNMT1,MSH2,718,Maintenance methyltransferase,methylation
DNMT1,MSH6,781,Maintenance methyltransferase,methylation
DNMT1,SNAI1,995,Maintenance methyltransferase,methylation
DNMT1,H4C6,873,Maintenance methyltransferase,methylation
DNMT1,MBD4,925,Maintenance methyltransferase,methylation
DNMT1,TRIM28,985,Maintenance methyltransferase,methylation
DNMT1,RARA,764,Maintenance methyltransferase,methylation
DNMT1,RFX1,754,Maintenance methyltransferase,methylation
DNMT1,H3-3B,987,Maintenance methyltransferase,methylation
DNMT1,KMT5C,813,Maintenance methyltransferase,methylation
DNMT1,MBD2,983,Maintenance methyltransferase,methylation
DNMT1,CDK4,738,Maintenance methyltransferase,methylation
DNMT1,CDH1,768,Maintenance methyltransferase,methylation
DNMT1,RBL2,823,Maintenance methyltransferase,methylation
DNMT1,RCOR1,788,Maintenance methyltransferase,methylation
DNMT1,TCF3,724,Maintenance methyltransferase,methylation
DNMT1,BRD4,791,Maintenance methyltransferase,methylation
DNMT1,PHRF1,840,Maintenance methyltransferase,methylation
DNMT1,HDAC4,759,Maintenance methyltransferase,methylation
DNMT1,STAT3,957,Maintenance methyltransferase,methylation
DNMT1,DNMT3A,999,Maintenance methyltransferase,methylation
DNMT1,DAXX,928,Maintenance methyltransferase,methylation
DNMT1,RB1,765,Maintenance methyltransferase,methylation
DNMT1,NCOR1,899,Maintenance methyltransferase,methylation
